"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT05"
"USC00420061","ALPINE, UT US","2017-09-13","0.00","0.0","0.0","85","57","80",
"USC00420061","ALPINE, UT US","2017-09-14","0.03","0.0","0.0","80","56","61",
"USC00420061","ALPINE, UT US","2017-09-15","1.27","0.0","0.0","61","47","59",
"USC00420061","ALPINE, UT US","2017-09-16","0.00","0.0","0.0","63","41","59",
"USC00420061","ALPINE, UT US","2017-09-17","0.00","0.0","0.0","74","41","70",
"USC00420061","ALPINE, UT US","2017-09-18","0.00","0.0","0.0","77","51","72",
"USC00420061","ALPINE, UT US","2017-09-19","0.01","0.0","0.0","72","48","59",
"USC00420061","ALPINE, UT US","2017-09-20","0.00","0.0","0.0","75","38","71",
"USC00420061","ALPINE, UT US","2017-09-21","0.00","0.0","0.0","71","48","48",
"USC00420061","ALPINE, UT US","2017-09-22","0.36","0.0","0.0","54","38","47",
"USC00420061","ALPINE, UT US","2017-09-23","0.09","0.0","0.0","53","35","44",
"USC00420061","ALPINE, UT US","2017-09-24","0.79","0.0","0.0","44","34","39",
"USC00420061","ALPINE, UT US","2017-09-25","0.00","0.0","0.0","57","34","55",
"USC00420061","ALPINE, UT US","2017-09-26","0.00","0.0","0.0","61","35","59",
"USC00420061","ALPINE, UT US","2017-09-27","0.00","0.0","0.0","68","38","64",
"USC00420061","ALPINE, UT US","2017-09-28","0.00","0.0","0.0","64","45","63",
"USC00420061","ALPINE, UT US","2017-09-29","0.00","0.0","0.0","70","43","69",
"USC00420061","ALPINE, UT US","2017-09-30","0.00","0.0","0.0","69","47","62",
"USC00420061","ALPINE, UT US","2017-10-01","0.01","0.0","0.0","62","50","50",
"USC00420061","ALPINE, UT US","2017-10-02","0.00","0.0","0.0","50","32","49",
"USC00420061","ALPINE, UT US","2017-10-03","0.00","0.0","0.0","61","29","61",
"USC00420061","ALPINE, UT US","2017-10-04","0.00","0.0","0.0","66","42","62",
"USC00420061","ALPINE, UT US","2017-10-05","0.00","0.0","0.0","63","35","59",
"USC00420061","ALPINE, UT US","2017-10-06","0.00","0.0","0.0","60","36","57",
"USC00420061","ALPINE, UT US","2017-10-07","0.00","0.0","0.0","73","37","63",
"USC00420061","ALPINE, UT US","2017-10-08","0.00","0.0","0.0","63","43","43",
"USC00420061","ALPINE, UT US","2017-10-09","0.00","0.0","0.0","53","31","50",
"USC00420061","ALPINE, UT US","2017-10-10","0.00","0.0","0.0","63","30","61",
"USC00420061","ALPINE, UT US","2017-10-11","0.00","0.0","0.0","71","38","67",
"USC00420061","ALPINE, UT US","2017-10-12","0.00","0.0","0.0","67","43","51",
"USC00420061","ALPINE, UT US","2017-10-13","0.00","0.0","0.0","64","30","59",
"USC00420061","ALPINE, UT US","2017-10-14","0.00","0.0","0.0","59","31","44",
"USC00420061","ALPINE, UT US","2017-10-15","0.00","0.0","0.0","59","26","55",
"USC00420061","ALPINE, UT US","2017-10-16","0.00","0.0","0.0","68","30","62",
"USC00420061","ALPINE, UT US","2017-10-17","0.00","0.0","0.0","74","35","65",
"USC00420061","ALPINE, UT US","2017-10-18","0.00","0.0","0.0","72","37","56",
"USC00420061","ALPINE, UT US","2017-10-19","0.00","0.0","0.0","74","40","70",
"USC00420061","ALPINE, UT US","2017-10-20","0.00","0.0","0.0","70","43","46",
"USC00420061","ALPINE, UT US","2017-10-21","0.00","0.0","0.0","51","30","48",
"USC00420061","ALPINE, UT US","2017-10-22","0.00","0.0","0.0","64","36","60",
